2026-07-20T15:10:47 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T15:10:47 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (0 already completed, resuming).
2026-07-20T15:10:47 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=1 run_id=R000058
2026-07-20T15:10:47 | INFO     | executor | Starting run_id=R000058 test_id=T001 scenario_id=S001 attempt=1
2026-07-20T15:12:29 | INFO     | experiment_runner | scenario=S001 run_no=1 resolved as 'pass' after 1 attempt(s).
2026-07-20T15:12:34 | WARNING  | run_pipeline | Pipeline interrupted by user. Progress has been saved; re-run to resume.
2026-07-20T15:12:36 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T15:12:36 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T15:12:36 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2024.1\bin\fgfs.exe
2026-07-20T15:12:36 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T15:12:36 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (1 already completed, resuming).
2026-07-20T15:12:36 | INFO     | experiment_runner | Skipping S001 run_no=1 (already completed).
2026-07-20T15:12:36 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=1 run_id=R000059
2026-07-20T15:12:36 | INFO     | executor | Starting run_id=R000059 test_id=T002 scenario_id=S002 attempt=1
2026-07-20T15:12:49 | INFO     | experiment_runner | scenario=S002 run_no=1 resolved as 'fail' after 1 attempt(s).
2026-07-20T15:12:50 | WARNING  | run_pipeline | Pipeline interrupted by user. Progress has been saved; re-run to resume.
2026-07-20T15:12:58 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T15:12:58 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T15:12:58 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2024.1\bin\fgfs.exe
2026-07-20T15:12:58 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T15:12:58 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (2 already completed, resuming).
2026-07-20T15:12:58 | INFO     | experiment_runner | Skipping S001 run_no=1 (already completed).
2026-07-20T15:12:58 | INFO     | experiment_runner | Skipping S002 run_no=1 (already completed).
2026-07-20T15:12:58 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=1 run_id=R000060
2026-07-20T15:12:58 | INFO     | executor | Starting run_id=R000060 test_id=T003 scenario_id=S003 attempt=1
2026-07-20T15:13:09 | INFO     | experiment_runner | scenario=S003 run_no=1 resolved as 'fail' after 1 attempt(s).
2026-07-20T15:13:19 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=1 run_id=R000061
2026-07-20T15:13:19 | INFO     | executor | Starting run_id=R000061 test_id=T004 scenario_id=S004 attempt=1
2026-07-20T15:24:19 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T15:24:19 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T15:24:19 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2024.1\bin\fgfs.exe
2026-07-20T15:24:19 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T15:24:19 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (3 already completed, resuming).
2026-07-20T15:24:19 | INFO     | experiment_runner | Skipping S001 run_no=1 (already completed).
2026-07-20T15:24:19 | INFO     | experiment_runner | Skipping S002 run_no=1 (already completed).
2026-07-20T15:24:19 | INFO     | experiment_runner | Skipping S003 run_no=1 (already completed).
2026-07-20T15:24:19 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=1 run_id=R000061
2026-07-20T15:24:19 | INFO     | executor | Starting run_id=R000061 test_id=T004 scenario_id=S004 attempt=1
2026-07-20T15:26:02 | INFO     | experiment_runner | scenario=S004 run_no=1 resolved as 'pass' after 1 attempt(s).
